"No.","Time","Source","Destination","Protocol","Length","Info"
"14525","290.941973284","10.0.2.15","140.82.121.4","TCP","54","56760  >  443 [ACK] Seq=1825 Ack=60961 Win=49640 Len=0"
"14526","290.942113216","140.82.121.4","10.0.2.15","TLSv1.3","8479","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"14527","290.942128886","10.0.2.15","140.82.121.4","TCP","54","56760  >  443 [ACK] Seq=1825 Ack=69386 Win=62780 Len=0"
"14528","290.967843018","140.82.121.4","10.0.2.15","TLSv1.3","2902","Application Data, Application Data, Application Data"
"14529","290.967868797","10.0.2.15","140.82.121.4","TCP","54","56760  >  443 [ACK] Seq=1825 Ack=72234 Win=65535 Len=0"
"14530","290.967978332","140.82.121.4","10.0.2.15","TLSv1.3","1478","Application Data"
"14531","290.968035449","140.82.121.4","10.0.2.15","TLSv1.3","1478","Application Data"
"14532","290.968046660","10.0.2.15","140.82.121.4","TCP","54","56760  >  443 [ACK] Seq=1825 Ack=75082 Win=65535 Len=0"
"14533","290.968453473","140.82.121.4","10.0.2.15","TLSv1.3","973","Application Data, Application Data, Application Data"
"14534","290.996959754","10.0.2.15","185.199.110.154","TLSv1.3","143","Application Data"
"14535","290.997248555","10.0.2.15","185.199.110.154","TLSv1.3","138","Application Data"
"14536","290.997304901","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=887080 Ack=7194 Win=65535 Len=0"
"14537","290.997358712","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=887080 Ack=7278 Win=65535 Len=0"
"14538","291.006089018","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=887080 Ack=7278 Win=65535 Len=1444 [TCP PDU reassembled in 14542]"
"14539","291.006236785","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=888524 Ack=7278 Win=65535 Len=1444 [TCP PDU reassembled in 14542]"
"14540","291.006250521","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=7278 Ack=889968 Win=65535 Len=0"
"14541","291.006311264","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=889968 Ack=7278 Win=65535 Len=1444 [TCP PDU reassembled in 14542]"
"14542","291.006415510","185.199.110.154","10.0.2.15","TLSv1.3","1705","Application Data"
"14543","291.006415620","185.199.110.154","10.0.2.15","TLSv1.3","228","Application Data"
"14544","291.006428364","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=7278 Ack=893237 Win=65535 Len=0"
"14545","291.006490561","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=893237 Ack=7278 Win=65535 Len=1444 [TCP PDU reassembled in 14550]"
"14546","291.006601018","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=894681 Ack=7278 Win=65535 Len=1444 [TCP PDU reassembled in 14550]"
"14547","291.006637216","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=7278 Ack=896125 Win=65535 Len=0"
"14548","291.006687220","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=896125 Ack=7278 Win=65535 Len=1444 [TCP PDU reassembled in 14550]"
"14549","291.006779092","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=897569 Ack=7278 Win=65535 Len=1444 [TCP PDU reassembled in 14550]"
"14550","291.006779192","185.199.110.154","10.0.2.15","TLSv1.3","718","Application Data"
"14551","291.006787618","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=7278 Ack=899013 Win=65535 Len=0"
"14552","291.011719319","10.0.2.15","140.82.121.4","TCP","54","56760  >  443 [ACK] Seq=1825 Ack=76001 Win=65535 Len=0"
"14553","291.013376467","10.0.2.15","185.199.110.154","TLSv1.3","204","Application Data"
"14554","291.013505208","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=7428 Win=65535 Len=0"
"14555","291.013837993","10.0.2.15","185.199.110.154","TLSv1.3","206","Application Data"
"14556","291.013934333","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=7580 Win=65535 Len=0"
"14557","291.014185775","10.0.2.15","185.199.110.154","TLSv1.3","163","Application Data"
"14558","291.014265735","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=7689 Win=65535 Len=0"
"14559","291.014579193","10.0.2.15","185.199.110.154","TLSv1.3","142","Application Data"
"14560","291.014659694","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=7777 Win=65535 Len=0"
"14561","291.015053623","10.0.2.15","185.199.110.154","TLSv1.3","205","Application Data"
"14562","291.015135406","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=7928 Win=65535 Len=0"
"14563","291.015440208","10.0.2.15","185.199.110.154","TLSv1.3","205","Application Data"
"14564","291.015523965","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8079 Win=65535 Len=0"
"14565","291.015882858","10.0.2.15","185.199.110.154","TLSv1.3","143","Application Data"
"14566","291.015958250","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8168 Win=65535 Len=0"
"14567","291.016253714","10.0.2.15","185.199.110.154","TLSv1.3","141","Application Data"
"14568","291.016380672","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8255 Win=65535 Len=0"
"14569","291.020134824","10.0.2.15","185.199.110.154","TLSv1.3","206","Application Data"
"14570","291.020313579","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8407 Win=65535 Len=0"
"14571","291.020451307","10.0.2.15","185.199.110.154","TLSv1.3","184","Application Data"
"14572","291.020551866","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8537 Win=65535 Len=0"
"14573","291.021407641","10.0.2.15","185.199.110.154","TLSv1.3","193","Application Data"
"14574","291.021487611","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8676 Win=65535 Len=0"
"14575","291.021688147","10.0.2.15","185.199.110.154","TLSv1.3","206","Application Data"
"14576","291.021758149","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8828 Win=65535 Len=0"
"14577","291.021960899","10.0.2.15","185.199.110.154","TLSv1.3","180","Application Data"
"14578","291.022044496","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=8954 Win=65535 Len=0"
"14579","291.022201861","10.0.2.15","185.199.110.154","TLSv1.3","206","Application Data"
"14580","291.022279977","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=9106 Win=65535 Len=0"
"14581","291.022468391","10.0.2.15","185.199.110.154","TLSv1.3","205","Application Data"
"14582","291.022539474","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=899677 Ack=9257 Win=65535 Len=0"
"14583","291.022825661","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=899677 Ack=9257 Win=65535 Len=1444 [TCP PDU reassembled in 14595]"
"14584","291.022895021","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=901121 Ack=9257 Win=65535 Len=1444 [TCP PDU reassembled in 14595]"
"14585","291.022900552","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9257 Ack=902565 Win=65535 Len=0"
"14586","291.022973789","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=902565 Ack=9257 Win=65535 Len=1444 [TCP PDU reassembled in 14595]"
"14587","291.023018443","10.0.2.15","185.199.110.154","TLSv1.3","206","Application Data"
"14588","291.023062225","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=904009 Ack=9257 Win=65535 Len=1444 [TCP PDU reassembled in 14595]"
"14589","291.023062325","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=905453 Ack=9409 Win=65535 Len=0"
"14590","291.023158856","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=905453 Ack=9409 Win=65535 Len=1444 [TCP PDU reassembled in 14595]"
"14591","291.023165879","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9409 Ack=906897 Win=65535 Len=0"
"14592","291.023243645","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=906897 Ack=9409 Win=65535 Len=1444 [TCP PDU reassembled in 14595]"
"14593","291.023335497","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=908341 Ack=9409 Win=65535 Len=1444 [TCP PDU reassembled in 14595]"
"14594","291.023340557","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9409 Ack=909785 Win=65535 Len=0"
"14595","291.023389108","185.199.110.154","10.0.2.15","TLSv1.3","1059","Application Data"
"14596","291.023626223","10.0.2.15","185.199.110.154","TLSv1.3","207","Application Data"
"14597","291.023681086","185.199.110.154","10.0.2.15","TCP","60","443  >  55038 [ACK] Seq=910790 Ack=9562 Win=65535 Len=0"
"14598","291.029870986","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=910790 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14600]"
"14599","291.029871227","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=912234 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14600]"
"14600","291.029930818","185.199.110.154","10.0.2.15","TLSv1.3","1016","Application Data"
"14601","291.029945847","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9562 Ack=914640 Win=65535 Len=0"
"14602","291.030043269","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=914640 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14609]"
"14603","291.030265306","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=916084 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14609]"
"14604","291.030277128","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9562 Ack=917528 Win=65535 Len=0"
"14605","291.030362548","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=917528 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14609]"
"14606","291.030423763","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=918972 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14609]"
"14607","291.030438982","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9562 Ack=920416 Win=65535 Len=0"
"14608","291.030507791","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=920416 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14609]"
"14609","291.030596086","185.199.110.154","10.0.2.15","TLSv1.3","661","Application Data"
"14610","291.030603059","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9562 Ack=922467 Win=65535 Len=0"
"14611","291.031208585","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=922467 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14614]"
"14612","291.031296710","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=923911 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14614]"
"14613","291.031304635","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9562 Ack=925355 Win=65535 Len=0"
"14614","291.031370789","185.199.110.154","10.0.2.15","TLSv1.3","4434","Application Data"
"14615","291.031417297","185.199.110.154","10.0.2.15","TLSv1.3","8836","Application Data"
"14616","291.031461229","185.199.110.154","10.0.2.15","TLSv1.3","1498","Application Data"
"14617","291.031504089","10.0.2.15","185.199.110.154","TCP","54","55038  >  443 [ACK] Seq=9562 Ack=939961 Win=65535 Len=0"
"14618","291.031562920","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=939961 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14623]"
"14619","291.031635817","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=941405 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14623]"
"14620","291.031725555","185.199.110.154","10.0.2.15","TCP","1498","443  >  55038 [PSH, ACK] Seq=942849 Ack=9562 Win=65535 Len=1444 [TCP PDU reassembled in 14623]"
