765.136185474	192.168.100.105	8.8.8.8
766.580974543	192.168.100.105	8.8.8.8
768.640511637	192.168.100.105	8.8.8.8
770.692979525	192.168.100.105	8.8.8.8
772.769876561	192.168.100.105	8.8.8.8
773.064275300	192.168.100.105	8.8.8.8
774.841485790	192.168.100.105	8.8.8.8
776.916534334	192.168.100.105	8.8.8.8
779.009211639	192.168.100.105	8.8.8.8
780.997160140	192.168.100.105	8.8.8.8
781.083841644	192.168.100.105	8.8.8.8
783.134465681	192.168.100.105	8.8.8.8
785.181667993	192.168.100.105	8.8.8.8
787.245635281	192.168.100.105	8.8.8.8
788.570313280	192.168.100.105	8.8.8.8
789.294915748	192.168.100.105	8.8.8.8
791.373299527	192.168.100.105	8.8.8.8
791.477900565	192.168.100.105	8.8.8.8
793.445703787	192.168.100.105	8.8.8.8
795.598451853	192.168.100.105	8.8.8.8
797.663232768	192.168.100.105	8.8.8.8
799.728545535	192.168.100.105	8.8.8.8
799.781853688	192.168.100.105	8.8.8.8
803.067712212	192.168.100.105	8.8.8.8
804.735004448	192.168.100.105	8.8.8.8
806.869361187	192.168.100.105	8.8.8.8
808.925015206	192.168.100.105	8.8.8.8
809.491089797	192.168.100.105	8.8.8.8
811.082443100	192.168.100.105	8.8.8.8
813.131355044	192.168.100.105	8.8.8.8
814.057395904	192.168.100.105	8.8.8.8
815.213004092	192.168.100.105	8.8.8.8
816.410512215	192.168.100.105	8.8.8.8
817.353969409	192.168.100.105	8.8.8.8
818.292906666	192.168.100.105	8.8.8.8
819.501703891	192.168.100.105	8.8.8.8
821.551331312	192.168.100.105	8.8.8.8
823.483380074	192.168.100.105	8.8.8.8
823.609035278	192.168.100.105	8.8.8.8
825.672692096	192.168.100.105	8.8.8.8
827.415987960	192.168.100.105	8.8.8.8
827.723457646	192.168.100.105	8.8.8.8
829.810061493	192.168.100.105	8.8.8.8
831.732870466	192.168.100.105	8.8.8.8
831.859052489	192.168.100.105	8.8.8.8
832.370147076	192.168.100.105	8.8.8.8
833.921417308	192.168.100.105	8.8.8.8
836.014006575	192.168.100.105	8.8.8.8
837.630390815	192.168.100.105	8.8.8.8
838.169094235	192.168.100.105	8.8.8.8
840.143927070	192.168.100.105	8.8.8.8
841.849536050	192.168.100.105	8.8.8.8
842.397296427	192.168.100.105	8.8.8.8
844.507875322	192.168.100.105	8.8.8.8
844.839982887	192.168.100.105	8.8.8.8
846.570904197	192.168.100.105	8.8.8.8
848.771447313	192.168.100.105	8.8.8.8
850.952241867	192.168.100.105	8.8.8.8
853.004417248	192.168.100.105	8.8.8.8
853.132978731	192.168.100.105	8.8.8.8
855.067416141	192.168.100.105	8.8.8.8
857.125948236	192.168.100.105	8.8.8.8
859.195752941	192.168.100.105	8.8.8.8
861.272765048	192.168.100.105	8.8.8.8
862.424404422	192.168.100.105	8.8.8.8
863.329478381	192.168.100.105	8.8.8.8
865.382336256	192.168.100.105	8.8.8.8
867.433654567	192.168.100.105	8.8.8.8
868.840683541	192.168.100.105	8.8.8.8
869.422044370	192.168.100.105	8.8.8.8
870.593481466	192.168.100.105	8.8.8.8
871.483604385	192.168.100.105	8.8.8.8
873.709163371	192.168.100.105	8.8.8.8
875.759550577	192.168.100.105	8.8.8.8
877.870379816	192.168.100.105	8.8.8.8
880.019482423	192.168.100.105	8.8.8.8
880.135601388	192.168.100.105	8.8.8.8
882.124934314	192.168.100.105	8.8.8.8
884.175564383	192.168.100.105	8.8.8.8
886.302193226	192.168.100.105	8.8.8.8
887.952505485	192.168.100.105	8.8.8.8
888.565132572	192.168.100.105	8.8.8.8
890.630269752	192.168.100.105	8.8.8.8
892.711375625	192.168.100.105	8.8.8.8
894.435354446	192.168.100.105	8.8.8.8
894.977427069	192.168.100.105	8.8.8.8
896.085723728	192.168.100.105	8.8.8.8
897.055234954	192.168.100.105	8.8.8.8
897.230835791	192.168.100.105	8.8.8.8
899.033872044	192.168.100.105	8.8.8.8
901.086734060	192.168.100.105	8.8.8.8
903.138473192	192.168.100.105	8.8.8.8
905.190352511	192.168.100.105	8.8.8.8
906.032134502	192.168.100.105	8.8.8.8
910.197624427	192.168.100.105	8.8.8.8
912.316006498	192.168.100.105	8.8.8.8
914.477672576	192.168.100.105	8.8.8.8
915.061437284	192.168.100.105	8.8.8.8
915.944167905	192.168.100.105	8.8.8.8
916.549330847	192.168.100.105	8.8.8.8
916.903486536	192.168.100.105	8.8.8.8
918.715663436	192.168.100.105	8.8.8.8
920.777162579	192.168.100.105	8.8.8.8
922.849404623	192.168.100.105	8.8.8.8
925.115247023	192.168.100.105	8.8.8.8
926.213527125	192.168.100.105	8.8.8.8
927.193781790	192.168.100.105	8.8.8.8
929.119254934	192.168.100.105	8.8.8.8
931.200839337	192.168.100.105	8.8.8.8
931.335013551	192.168.100.105	8.8.8.8
933.262189950	192.168.100.105	8.8.8.8
934.267733944	192.168.100.105	8.8.8.8
935.349149783	192.168.100.105	8.8.8.8
937.483422380	192.168.100.105	8.8.8.8
937.846842165	192.168.100.105	8.8.8.8
939.620236731	192.168.100.105	8.8.8.8
941.786585406	192.168.100.105	8.8.8.8
943.941351533	192.168.100.105	8.8.8.8
946.095198981	192.168.100.105	8.8.8.8
946.481982237	192.168.100.105	8.8.8.8
948.193375414	192.168.100.105	8.8.8.8
